ImageNumber,YFP,RFP,ObjectNumber,AreaShape_MajorAxisLength,AreaShape_Orientation,Location_Center_X,Location_Center_Y,TrackObjects_Label_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
3,0,1,15,31.78499003,-54.28583829,957.0578035,713.2485549,10,2.0,9
3,0,1,8,30.60847385,-32.20209797,935.2222222,733.1754386,11,2.0,10
4,1,0,1,19.46531058,-67.10568148,1008.959184,80.75510204,1,3.0,1
4,1,0,2,25.88145873,14.71797532,1279.315789,99.29473684,2,3.0,2
4,1,0,12,27.07129887,21.75825578,1273.883333,106.3916667,2,3.0,2
4,1,0,3,17.46288581,-45.0,218.75,122.25,3,3.0,12
4,1,0,20,16.34971394,-55.45306316,1345.978261,319.7826087,4,3.0,16
4,1,0,21,28.63379229,11.86267279,123.3013699,746.4794521,5,3.0,17
4,0,1,6,25.11772633,-57.44888284,335.3469388,11.10204082,6,3.0,6
4,0,1,7,28.30183734,-55.91560912,312.5530726,25.75977654,7,3.0,7
4,0,1,13,16.95572793,16.40283309,1285.757143,98.34285714,12,3.0,13
4,0,1,22,17.83978522,-30.2942187,1360.067568,312.9594595,13,3.0,18
4,0,1,19,39.52369367,-65.83811506,305.6196581,494.4102564,8,3.0,14
4,0,1,15,38.33108186,-67.37625629,271.1276596,509.2808511,9,3.0,19
4,0,1,8,31.78073294,-54.77801506,960.3934426,713.3661202,10,3.0,15
4,0,1,9,30.56722961,-31.30853574,937.9450549,733.9505495,11,3.0,8
5,1,0,1,19.40272694,-68.60881949,1012.315789,84.03157895,1,4.0,1
5,1,0,2,26.46126347,14.36392948,1282.28125,102.8854167,2,4.0,2
5,1,0,12,26.45826665,21.03800436,1276.92562,109.9586777,2,4.0,12
5,1,0,3,17.98511517,44.14001786,221.9255319,125.7021277,3,4.0,3
5,1,0,17,28.24067082,10.65787031,126.5070423,750.0352113,5,4.0,21
5,0,1,6,25.43807831,-57.27050278,338.4797297,14.56756757,6,4.0,6
5,0,1,7,28.44292649,-55.73885218,315.5625,29.21022727,7,4.0,7
5,0,1,13,16.85422241,16.94966342,1288.628571,102.0,12,4.0,13
5,0,1,22,17.98713622,-30.13151813,1363.342466,315.8082192,13,4.0,22
5,0,1,14,17.45604397,-55.65077735,1348.72549,323.0784314,14,0.0,0
5,0,1,19,40.35179604,-65.68339242,308.460251,497.9246862,8,4.0,19
5,0,1,15,38.24726117,-67.51532019,273.8097345,512.8495575,9,4.0,15
5,0,1,8,65.74211928,-46.66064108,952.2894737,726.9093567,11,4.0,9
6,1,0,1,19.96065741,-69.05002866,1014.55,84.7,1,5.0,1
6,1,0,2,26.71635385,15.86245582,1284.861386,103.2970297,2,5.0,2
6,1,0,12,27.16366295,21.85635893,1279.237705,110.442623,2,5.0,12
6,1,0,3,17.43950024,43.09446153,224.0,126.1395349,3,5.0,3
6,1,0,21,28.63285484,9.974218136,128.7986577,750.6375839,5,5.0,17
6,0,1,6,25.35052146,-57.67237332,340.6388889,15.16666667,6,5.0,6
6,0,1,7,27.77027506,-56.58593045,318.005848,29.74853801,7,5.0,7
6,0,1,13,16.75039249,17.00703618,1291.2,102.2769231,12,5.0,13
6,0,1,22,18.23581907,-31.66039486,1365.815789,316.5789474,13,5.0,22
6,0,1,14,17.00625888,-55.56223656,1351.229167,323.7083333,14,5.0,14
6,0,1,19,40.18152293,-65.92695134,311.1810345,498.2672414,8,5.0,19
6,0,1,15,38.66874874,-67.432727,276.3574468,513.3319149,9,5.0,15
6,0,1,8,31.41441821,-53.81986448,965.7213115,717.3825137,11,5.0,8
6,0,1,9,30.75969364,-31.35591081,943.1189189,738.1513514,11,5.0,8
7,1,0,1,20.51971466,-68.57885993,1016.47619,85.31428571,1,6.0,1
7,1,0,2,27.248607,15.50097014,1286.77551,103.8367347,2,6.0,2
7,1,0,12,26.89620108,21.57145409,1281.245902,110.9508197,2,6.0,12
7,1,0,3,18.06510394,43.74138252,226.0957447,126.893617,3,6.0,3
7,1,0,17,29.31975331,10.84857781,130.8562092,751.2222222,5,6.0,21
7,0,1,6,25.81050303,-56.5284585,343.1372549,15.54248366,6,6.0,6
7,0,1,7,28.14623907,-55.28846351,319.9438202,30.46629213,7,6.0,7
7,0,1,13,16.70744632,17.65316275,1293.385714,103.3,12,6.0,13
7,0,1,22,16.54657406,-56.13939448,1353.297872,324.3829787,14,6.0,14
7,0,1,14,40.82366364,-65.45702621,313.0995851,498.8713693,8,6.0,19
7,0,1,19,38.48584318,-67.41887865,278.0683761,514.0470085,9,6.0,15
7,0,1,15,31.35564694,-54.24558956,967.6179775,718.0786517,11,6.0,8
7,0,1,8,30.94948118,-31.79429317,945.3898305,738.440678,11,6.0,9
8,1,0,1,20.34194518,-68.57919513,1018.740385,85.55769231,1,7.0,1
8,1,0,2,27.79433352,16.17603301,1288.755102,104.3571429,2,7.0,2
8,1,0,12,27.20664963,21.21763245,1283.298387,111.3064516,2,7.0,12
8,1,0,3,18.12449692,45.73808807,228.2395833,127.0416667,3,7.0,3
8,1,0,17,18.60401479,9.73290153,132.0744681,746.8723404,5,7.0,17
8,1,0,21,10.63696499,12.33118499,134.5192308,759.3076923,5,7.0,17
8,0,1,6,26.15090602,-56.83371026,345.1741935,15.83870968,6,7.0,6
8,0,1,7,28.58783617,-55.68337031,321.7923497,30.94535519,7,7.0,7
8,0,1,13,16.54522447,18.02571275,1295.277778,103.4166667,12,7.0,13
8,0,1,22,17.13633006,-55.83761576,1355.192308,324.6923077,14,7.0,22
8,0,1,14,40.81121043,-65.2710914,315.5147679,499.0421941,8,7.0,14
8,0,1,19,39.14788861,-67.75084555,280.0635593,514.3432203,9,7.0,19
8,0,1,15,31.07820012,-55.01010075,969.3625731,718.619883,11,7.0,15
8,0,1,8,30.63654144,-31.72437782,947.6987952,738.4337349,11,7.0,8
9,1,0,1,20.19583913,-68.6194095,1020.714286,85.72380952,1,8.0,1
9,1,0,2,27.72322582,16.18755458,1290.708738,104.2718447,2,8.0,2
9,1,0,12,27.07260768,20.86017821,1285.177419,111.233871,2,8.0,12
9,1,0,3,18.52437407,43.52483106,230.25,127.27,3,8.0,3
9,1,0,17,15.41701248,10.75514986,133.8607595,745.8101266,5,8.0,17
9,1,0,21,13.57083515,13.49665425,136.2318841,758.2028986,5,8.0,21
9,0,1,6,25.49770718,-56.8472736,347.1324503,16.10596026,6,8.0,6
9,0,1,7,28.52047936,-55.87499558,323.85,31.08888889,7,8.0,7
9,0,1,13,16.86470647,19.09184622,1297.380282,103.6901408,12,8.0,13
9,0,1,22,16.98726061,-55.33307125,1357.351852,324.7592593,14,8.0,22
9,0,1,14,41.28415084,-64.85852957,317.6890756,499.0336134,8,8.0,14
9,0,1,19,39.02662621,-67.06018246,282.1176471,514.5672269,9,8.0,19
9,0,1,15,31.14683135,-55.22815212,971.2848837,718.7965116,11,8.0,15
9,0,1,8,30.34008695,-31.24547246,949.4634146,739.0243902,11,8.0,8
10,1,0,1,20.74772863,-69.83271773,1022.542857,85.81904762,1,9.0,1
10,1,0,2,28.00064533,16.62996395,1292.591837,104.4387755,2,9.0,2
10,1,0,12,27.06803697,21.370051,1287.081301,111.2682927,2,9.0,12
10,1,0,3,18.39154529,42.01495614,232.0105263,127.3263158,3,9.0,3
10,1,0,17,15.6035635,11.62136065,135.7625,745.8,5,9.0,17
10,1,0,21,14.26780369,12.77316833,138.1780822,758.630137,5,9.0,21
10,0,1,6,25.58535067,-57.35114463,349.2418301,16.08496732,6,9.0,6
10,0,1,7,28.86041593,-55.63746661,325.8618785,31.16574586,7,9.0,7
10,0,1,13,17.00326906,18.41034252,1299.375,104.0416667,12,9.0,13
10,0,1,22,16.64556192,-55.8743259,1359.296296,324.9444444,14,9.0,22
10,0,1,14,41.39889308,-64.73333517,319.8312757,499.1234568,8,9.0,14
10,0,1,19,39.19873428,-66.71116585,284.1722689,514.5756303,9,9.0,19
10,0,1,15,31.29198911,-54.68984831,973.3828571,718.8857143,11,9.0,15
10,0,1,8,30.81867634,-31.85007375,951.2647059,739.2529412,11,9.0,8
11,1,0,1,20.87726031,-68.69992879,1024.311927,85.75229358,1,10.0,1
11,1,0,2,27.75443365,15.11385922,1294.313725,104.6862745,2,10.0,2
11,1,0,12,26.61813105,21.7983247,1288.805085,111.5423729,2,10.0,12
11,1,0,3,18.87235311,43.56142927,233.744898,127.5102041,3,10.0,3
11,1,0,17,30.09970857,12.00177595,138.4625,751.95625,5,10.0,17
11,0,1,6,25.91896493,-57.12895035,350.7935484,16.07096774,6,10.0,6
11,0,1,7,28.81983939,-55.58733193,327.5054348,31.09782609,7,10.0,7
11,0,1,13,16.46285142,18.16284541,1300.869565,103.7826087,12,10.0,13
11,0,1,22,16.56116467,-55.63828595,1361.215686,324.7843137,14,10.0,22
11,0,1,14,41.3971915,-64.81215363,321.6307054,498.93361,8,10.0,14
11,0,1,19,39.76407196,-67.1584352,285.7809917,514.6363636,9,10.0,19
11,0,1,15,31.57975764,-54.96092026,975.0225989,718.8587571,11,10.0,15
11,0,1,8,31.13689846,-31.29049911,952.9942857,739.16,11,10.0,8
12,1,0,1,21.25394982,-69.58316508,1018.732143,82.53571429,1,11.0,1
12,1,0,2,28.40478724,15.61586307,1288.47,101.57,2,11.0,12
12,1,0,23,17.51398995,18.45504336,1295.22973,100.6486486,2,11.0,2
12,1,0,12,26.85021445,21.91213424,1282.95,108.3416667,2,11.0,12
12,1,0,3,19.61143974,42.66186137,227.7333333,123.952381,3,11.0,3
12,1,0,17,17.27285259,10.25887455,131.75,743.25,5,11.0,17
12,1,0,21,13.27986291,13.54948192,134.1764706,756.0735294,5,11.0,17
12,0,1,6,26.29540029,-56.36322919,345.1538462,12.82051282,6,11.0,6
12,0,1,7,29.04142146,-56.26718217,321.6519337,28.12154696,7,11.0,7
12,0,1,22,17.06891557,-55.22479409,1355.294118,321.6666667,15,0.0,0
12,0,1,14,42.17788801,-64.9414178,316.0693878,495.7183673,8,11.0,14
12,0,1,19,39.43675608,-67.12897441,279.9916667,511.5125,9,11.0,19
12,0,1,15,30.61237385,-54.63184844,968.9588235,715.8411765,11,11.0,15
12,0,1,8,29.44243687,-32.13537695,947.4756098,735.7195122,11,11.0,8
13,1,0,1,21.27224968,-71.03512053,1023.380531,82.12389381,1,12.0,1
13,1,0,2,28.97509919,15.85874807,1293.403846,100.8942308,2,12.0,23
13,1,0,23,17.26482905,20.68605734,1300.067568,100.0945946,2,12.0,23
13,1,0,12,27.26593663,21.57434215,1287.848739,107.7815126,2,12.0,2
13,1,0,3,18.87014026,43.24404946,232.73,123.58,3,12.0,3
13,1,0,17,31.22170186,11.62478986,137.5636364,748.4181818,5,12.0,17
13,0,1,6,26.10799252,-56.62311208,349.8954248,12.31372549,6,12.0,6
13,0,1,7,28.97279529,-55.74442228,326.6432432,27.35135135,7,12.0,7
13,0,1,22,16.96087502,-55.76412285,1360.115385,321.3269231,15,12.0,22
13,0,1,14,42.54753909,-64.36934313,320.7773279,495.2064777,8,12.0,14
13,0,1,19,39.35751356,-67.28466531,284.7090164,510.9713115,9,12.0,19
13,0,1,15,30.82168504,-54.07215759,974.1142857,715.0685714,11,12.0,15
13,0,1,8,30.71943173,-31.65779148,952.2402235,735.1955307,11,12.0,8
14,1,0,1,21.92062901,-70.15049098,1024.521739,82.4,1,13.0,1
14,1,0,2,28.20063582,15.96395548,1294.295238,101.1809524,2,13.0,2
14,1,0,23,17.12879056,20.36401281,1300.972973,100.027027,2,13.0,23
14,1,0,12,27.22403184,22.15360504,1288.85,108.2666667,2,13.0,12
14,1,0,3,19.55633608,43.10084026,233.8207547,123.9150943,3,13.0,3
14,1,0,17,30.75024217,11.48625468,138.5662651,748.5240964,5,13.0,17
14,0,1,6,26.24794329,-56.75829552,351.0379747,12.58227848,6,13.0,6
14,0,1,7,28.50339817,-55.33246354,327.5628415,27.80874317,7,13.0,7
14,0,1,22,16.4105425,-56.10896767,1360.87234,321.8085106,15,13.0,22
14,0,1,14,42.86715243,-64.29140106,321.928,495.436,8,13.0,14
14,0,1,19,39.82069142,-67.33937485,285.5731707,511.3089431,9,13.0,19
14,0,1,15,30.28020659,-54.47819851,974.9356725,715.4795322,11,13.0,15
14,0,1,8,30.30946231,-31.76211457,953.2093023,735.5755814,11,13.0,8
15,1,0,1,22.23727901,-69.86920351,1025.547009,81.95726496,1,14.0,1
15,1,0,2,28.86020003,15.98424816,1294.890909,100.7909091,2,14.0,2
15,1,0,23,17.27148215,20.15162735,1301.866667,100.0266667,2,14.0,23
15,1,0,12,27.12303723,22.33161178,1289.366667,107.6333333,2,14.0,12
15,1,0,3,19.21146123,44.112086,234.5533981,123.4757282,3,14.0,3
15,1,0,17,13.96490931,9.369417809,138.1,741.5142857,5,14.0,17
15,1,0,21,16.72487557,14.53334455,140.6629213,754.6404494,5,14.0,17
15,0,1,6,26.30741307,-57.49686778,351.7324841,12.2866242,6,14.0,6
15,0,1,7,29.17170425,-55.08097301,328.4130435,27.4673913,7,14.0,7
15,0,1,22,16.72735056,-55.26444195,1361.679245,321.0754717,15,14.0,22
15,0,1,14,42.99489618,-64.32738622,322.7217742,495.125,8,14.0,14
15,0,1,19,40.14435304,-67.18484027,286.3801653,510.9669421,9,14.0,19
15,0,1,15,31.21878542,-54.64356843,975.6046512,715.25,11,14.0,15
15,0,1,8,31.04397366,-31.49199565,954.0877193,735.1578947,11,14.0,8
16,1,0,1,21.89295323,-70.48127694,1027.728814,83.62711864,1,15.0,1
16,1,0,2,29.33610013,16.6755308,1297.142857,102.4285714,2,15.0,2
16,1,0,23,17.56885884,20.68950882,1303.92,101.84,2,15.0,23
16,1,0,12,27.54302582,22.45089768,1291.368852,109.057377,2,15.0,12
16,1,0,3,19.77361198,42.92519779,236.4245283,125.2641509,3,15.0,3
16,1,0,17,32.06279006,11.42096742,141.5266272,750.0769231,5,15.0,21
16,0,1,6,26.74546497,-56.61373926,353.96875,13.80625,6,15.0,6
16,0,1,7,29.06433544,-55.82352596,330.4756757,29.32432432,7,15.0,7
16,0,1,22,16.86941938,-55.7744967,1363.92,322.88,15,15.0,22
16,0,1,14,43.01830374,-64.28965556,325.2289157,496.4859438,8,15.0,14
16,0,1,19,40.39032418,-67.0006671,288.6104418,512.686747,9,15.0,19
16,0,1,15,31.06096539,-55.04572639,978.0222222,716.7888889,11,15.0,15
16,0,1,8,31.06181309,-31.48060963,955.8994413,737.1675978,11,15.0,8
17,1,0,1,21.77136683,-70.33924684,1029.201681,84.31092437,1,16.0,1
17,1,0,2,30.16328118,15.80680391,1298.657407,103.5555556,2,16.0,2
17,1,0,23,17.42048657,19.11580268,1305.447368,102.5526316,2,16.0,23
17,1,0,12,27.58088219,22.31963257,1293.192,110.072,2,16.0,12
17,1,0,3,19.99435578,44.84218269,238.2037037,125.9351852,3,16.0,3
17,1,0,24,18.41179126,10.90854392,142.0,745.0537634,5,16.0,17
17,1,0,17,13.08401158,15.73028461,144.8333333,758.3787879,5,16.0,17
17,0,1,6,26.39424891,-56.22699046,355.6064516,14.41290323,6,16.0,6
17,0,1,7,29.12110606,-55.8349693,331.7912088,30.13186813,7,16.0,7
17,0,1,22,18.27385972,-56.12199352,1365.410714,323.2678571,15,16.0,22
17,0,1,14,43.39586024,-64.08826992,326.4257028,497.3253012,8,16.0,14
17,0,1,19,40.72829267,-67.05149711,289.8024691,513.399177,9,16.0,19
17,0,1,15,65.05182209,-46.60709571,968.4208955,727.4835821,11,16.0,15
18,1,0,1,22.47827557,-71.18999941,1031.483333,83.35833333,1,17.0,1
18,1,0,2,29.95007067,15.8441017,1300.62963,102.4444444,2,17.0,2
18,1,0,23,17.22233482,19.06658161,1307.472973,101.4864865,2,17.0,23
18,1,0,12,27.64737332,21.31626869,1295.133858,109.023622,2,17.0,12
18,1,0,3,20.47064464,44.32406491,240.3423423,125.1171171,3,17.0,3
18,1,0,25,16.2434155,11.65532695,143.7654321,742.5802469,5,17.0,24
18,1,0,24,16.070641,15.65879716,146.5238095,756.4166667,5,17.0,17
18,0,1,6,26.48555205,-56.52332362,357.656051,13.47770701,6,17.0,6
18,0,1,7,29.11064227,-55.20928608,333.7608696,29.29891304,7,17.0,7
18,0,1,22,43.65131052,-64.1741651,328.516129,496.3266129,8,17.0,14
18,0,1,14,40.7647314,-66.84696772,291.8811475,512.442623,9,17.0,19
18,0,1,19,65.90218006,-46.5501814,970.6066066,726.4834835,11,17.0,15
19,1,0,1,22.98345113,-71.30792678,1033.080645,82.90322581,1,18.0,1
19,1,0,2,29.9804489,16.10708796,1302.463636,102.0181818,2,18.0,2
19,1,0,23,17.11966583,18.87330479,1309.405405,101.3513514,2,18.0,23
19,1,0,12,27.52320973,22.10030972,1296.957983,108.7478992,2,18.0,12
19,1,0,3,20.46472619,42.11062972,241.6203704,124.4722222,3,18.0,3
19,1,0,24,17.45424321,14.04478351,145.5319149,742.7234043,5,18.0,25
19,1,0,17,14.56558789,18.32479617,148.5189873,756.8607595,5,18.0,24
19,0,1,6,26.78210321,-56.37843046,359.5705521,12.91411043,6,18.0,6
19,0,1,7,29.72302557,-54.61918215,335.6096257,28.84491979,7,18.0,7
19,0,1,22,44.30838818,-63.94196878,330.4023438,495.875,8,18.0,22
19,0,1,14,41.4050902,-66.88593115,293.4922481,512.1434109,9,18.0,14
19,0,1,19,31.23688009,-54.35585001,983.5480226,715.9943503,11,18.0,19
19,0,1,15,31.0727519,-31.45378435,961.2146893,736.519774,11,18.0,19
20,1,0,1,22.65474852,-71.14911545,1034.393443,82.68032787,1,19.0,1
20,1,0,2,30.78099447,16.12631713,1303.661157,101.9669421,2,19.0,2
20,1,0,23,17.3549134,19.21422612,1310.44,101.1333333,2,19.0,23
20,1,0,12,27.64093147,21.75587936,1298.104839,108.6370968,2,19.0,12
20,1,0,3,20.56913943,45.39037568,243.1315789,124.245614,3,19.0,3
20,1,0,25,19.55273506,10.60005181,146.9690722,743.5670103,5,19.0,24
20,1,0,24,12.92893617,17.31355505,149.9552239,757.3283582,5,19.0,17
20,0,1,6,27.12413893,-56.96409971,360.825,12.74375,6,19.0,6
20,0,1,7,29.57925929,-54.41265816,336.6902174,28.79891304,7,19.0,7
20,0,1,22,43.99047863,-63.78929641,331.6425703,495.6947791,8,19.0,22
20,0,1,14,41.49285424,-67.0769595,294.5809129,512.0,9,19.0,14
20,0,1,19,65.1306487,-46.57724595,973.4189602,725.9633028,11,19.0,19
21,1,0,1,23.29019501,-72.35496356,1035.015873,82.26190476,1,20.0,1
21,1,0,2,30.26151525,16.61566445,1304.389381,101.3716814,2,20.0,2
21,1,0,23,17.71889489,19.53509936,1311.44,100.56,2,20.0,23
21,1,0,12,27.86825945,22.34778247,1298.696721,107.9672131,2,20.0,12
21,1,0,3,20.66643655,43.64649479,243.7652174,123.773913,3,20.0,3
21,1,0,24,13.83577558,10.7338782,147.1830986,740.4084507,5,20.0,25
21,1,0,17,19.55257064,13.54598573,150.2079208,754.5742574,5,20.0,24
21,0,1,6,27.20846869,-55.81060847,361.5705521,12.10429448,6,20.0,6
21,0,1,7,29.9907431,-55.09696536,337.390625,28.30729167,7,20.0,7
21,0,1,22,44.4581372,-63.38890441,332.7509728,494.9533074,8,20.0,22
21,0,1,14,41.56432809,-67.14167282,294.9604743,511.5928854,9,20.0,14
21,0,1,19,31.42722129,-54.51954264,985.2701149,715.3275862,11,20.0,19
21,0,1,15,31.63002476,-31.14024864,963.2228571,735.6971429,11,20.0,19
22,1,0,1,23.09065835,-72.2776007,1035.891473,82.40310078,1,21.0,1
22,1,0,2,31.34896394,16.81701381,1305.058824,101.7731092,2,21.0,2
22,1,0,23,18.07867696,19.97097647,1312.0,100.8589744,2,21.0,23
22,1,0,12,27.70355115,21.51455907,1299.300813,108.0,2,21.0,12
22,1,0,3,20.99198149,42.45163111,244.0840336,123.5546218,3,21.0,3
22,1,0,24,19.50978582,9.448947093,148.0618557,742.5257732,5,21.0,24
22,1,0,17,14.18945423,17.47854301,151.2837838,756.9054054,5,21.0,17
22,0,1,6,27.28532018,-55.97317609,362.1084337,12.3373494,6,21.0,6
22,0,1,7,29.98607182,-54.73996416,338.0621762,28.51813472,7,21.0,7
22,0,1,22,45.04008534,-63.38766731,333.4362934,495.0926641,8,21.0,22
22,0,1,14,42.10053173,-66.90240699,295.6732283,511.7716535,9,21.0,14
22,0,1,19,30.58540592,-54.69586588,985.6785714,715.6309524,11,21.0,19
22,0,1,15,31.76684443,-31.29024201,963.8806818,735.8238636,11,21.0,15
23,1,0,1,23.95866925,-72.26925942,1030.746269,79.70895522,1,22.0,1
23,1,0,2,30.75969558,17.20942324,1299.957265,99.18803419,2,22.0,12
23,1,0,23,17.9708785,19.82490026,1306.860759,98.18987342,2,22.0,2
23,1,0,12,27.78335012,21.98810549,1294.090164,105.557377,2,22.0,12
23,1,0,3,20.65815606,44.36352188,238.973913,121.026087,3,22.0,3
23,1,0,17,20.8994558,9.672144166,142.9252336,739.8598131,5,22.0,24
23,1,0,21,14.08938026,19.95451023,146.3506494,754.7532468,5,22.0,17
23,0,1,6,27.25751083,-56.28657083,356.9096386,9.656626506,6,22.0,6
23,0,1,7,30.4856907,-54.58402794,333.0871795,25.89230769,7,22.0,7
23,0,1,14,45.00278309,-63.96758175,328.2664093,492.4440154,8,22.0,22
23,0,1,19,42.41921319,-67.1364845,290.3524904,509.2260536,9,22.0,14
23,0,1,15,31.48388315,-55.2051381,980.9772727,712.7840909,11,22.0,19
23,0,1,8,31.54716624,-30.85611762,958.5371429,733.4285714,11,22.0,15
24,1,0,26,23.35567754,-72.66804226,1033.924242,78.61363636,1,23.0,1
24,1,0,1,31.9418406,17.95837933,1303.319328,98.25210084,2,23.0,2
24,1,0,2,17.79592756,20.70318076,1310.179487,97.12820513,2,23.0,23
24,1,0,23,28.25574794,22.63953047,1297.508065,104.5887097,2,23.0,12
24,1,0,12,21.07757718,44.69439536,242.1754386,120.0614035,3,23.0,3
24,1,0,25,18.6777427,9.129242699,145.9591837,737.6632653,5,23.0,17
24,1,0,24,16.26785096,16.51192229,149.4431818,752.9318182,5,23.0,21
24,0,1,6,30.71240824,-54.71143752,336.2,24.885,7,23.0,7
24,0,1,18,45.22140166,-63.8535764,331.9031008,491.120155,8,23.0,14
24,0,1,22,42.36334242,-66.90044792,293.6162791,508.1395349,9,23.0,19
24,0,1,14,31.57101909,-55.52409039,984.2067039,711.6703911,11,23.0,15
24,0,1,19,31.98308019,-30.81435154,961.7458564,732.5414365,11,23.0,8
25,1,0,26,23.9760093,-73.12182642,1034.837037,78.65185185,1,24.0,26
25,1,0,1,32.86496481,17.5497339,1304.279661,98.48305085,2,24.0,1
25,1,0,2,17.96478209,20.56376851,1311.1875,97.25,2,24.0,2
25,1,0,23,28.73833269,22.6384627,1298.414063,104.5078125,2,24.0,23
25,1,0,12,21.22356988,43.87897501,243.1578947,120.1140351,3,24.0,12
25,1,0,25,20.21745722,9.584565309,147.0190476,738.0857143,5,24.0,25
25,1,0,24,15.17817529,17.1475566,150.5,753.3690476,5,24.0,24
25,0,1,6,30.34666221,-54.60805553,337.1269036,24.96446701,7,24.0,6
25,0,1,18,44.60886623,-63.36237259,332.3779528,491.4015748,8,24.0,18
25,0,1,22,42.15670104,-66.80587566,294.7003891,508.1322957,9,24.0,22
25,0,1,14,31.64664034,-55.6118214,985.2285714,711.6971429,11,24.0,14
25,0,1,19,32.27607662,-30.54462488,962.7348066,732.5635359,11,24.0,19
26,1,0,26,24.48428474,-72.58158286,1035.496403,79.1942446,1,25.0,26
26,1,0,1,32.60823793,16.96281179,1304.781513,98.86554622,2,25.0,1
26,1,0,2,18.07635495,20.11490168,1311.87013,97.76623377,2,25.0,2
26,1,0,23,29.17221787,22.19468993,1298.876923,105.0,2,25.0,23
26,1,0,12,21.63183563,43.96060148,243.9166667,120.675,3,25.0,12
26,1,0,25,36.94111719,12.58582855,149.1621622,745.2972973,5,25.0,25
26,0,1,6,30.40765711,-54.21576569,337.6839378,25.64766839,7,25.0,6
26,0,1,18,44.98422589,-63.48702315,332.9805447,491.92607,8,25.0,18
26,0,1,22,42.00518457,-66.9201864,295.2908367,508.5896414,9,25.0,22
26,0,1,14,31.90416306,-55.19950246,985.5172414,712.316092,11,25.0,14
26,0,1,19,32.00522816,-30.91206915,963.3430233,732.7906977,11,25.0,19
27,1,0,1,24.78858791,-73.54730471,1036.681159,81.58695652,1,26.0,26
27,1,0,2,33.53414322,17.26848424,1306.144068,101.6779661,2,26.0,1
27,1,0,23,18.54915848,19.59767149,1313.123457,100.4444444,2,26.0,2
27,1,0,12,28.24056843,21.66400512,1300.078125,107.5625,2,26.0,23
27,1,0,3,21.43942577,43.21430489,244.9833333,123.0583333,3,26.0,12
